KOD,NAZEV,ANAZEV,DOD,DDO,NEPLATNOST,LATNAZEV
7310T276,Tlumočnictví: čeština - francouzština,,,,,
7310T277,Tlumočnictví: čeština - němčina,,,,,
7310T278,Tlumočnictví: čeština - ruština,,,,,
7310T279,Tlumočnictví: čeština - španělština,,,,,
7310T285,Italianistika,,,,,
7310T291,Mediteránní studia,,,,,
7310T292,Skandinávská studia,,,,,
7310T293,Překladatelství anglického jazyka,,,,,
7310T294,Překladatelství francouzského jazyka,,,,,
7310T295,Překladatelství německého jazyka,,,,,
7310T296,Překladatelství ruského jazyka,,,,,
7310T303,Filologicko-areálová studia,,,,,
7310T311,Obecná lingvistika a teorie komunikace,,,,,
7310T316,Český jazyk-specializační studium,,,,,
7310T318,Francouzský jazyk,,,,,
7310T319,Španělský jazyk,,,,,
7310T321,Tolken en Vertalen Nederlands als B-taal,,,,,
7310T323,Němčina pro překladatelskou praxi,,,,,
7310T326,Český jazyk se specializací počítačová lingvistika,,,,,
7310T327,Latinský jazyk a literatura středověku,,,,,
7310T328,Francouzština pro překladatelskou praxi,,,,,
7310T329,Španělština pro překladatelskou praxi,,,,,
7310T331,Polština pro překladatelskou praxi,,,,,
7310T332,Ruština pro překladatelskou praxi,,,,,
7310T333,Angličtina se zaměřením na tlumočení a překlad,,,,,
7310T335,Literární a mezikulturní komunikace,,,,,
7310T338,Angličtina pro překladatelskou praxi,,,,,
7310T339,Německá filologie v česko-německém interkulturním kontextu,,,,,
7310T340,Novořecká filologie,,,,,
7310T359,Polština pro překladatele,,,,,
7310V003,Anglická a americká literatura,,,,,
7310V007,Anglická literatura,,,,,
7310V008,Anglický jazyk,,,,,
7310V009,Anglický jazyk a literatura,,,,,
7310V031,Česká literatura,,,,,
7310V032,Český jazyk,,,,,
7310V033,Český jazyk a literatura,,,,,
7310V050,Fonetika,,,,,
7310V053,Francouzská literatura,,,,,
7310V054,Francouzský jazyk a literatura,,,,,
7310V060,Germánské jazyky,,,,,
7310V063,Hungaristika a ugrofinistika,,,,,
7310V077,Jazykověda konkrétních jazykových skupin,,,,,
7310V078,Jazyky zemí Asie a Afriky,,,,,
7310V079,Klasická filologie,,,,,
7310V104,Německá literatura,,,,,
7310V105,Německý jazyk,,,,,
7310V106,Německý jazyk a literatura,,,,,
7310V113,Novořecký jazyk a literatura,,,,,
7310V115,Obecná jazykověda,,,,,
7310V116,Obecná lingvistika,,,,,
7310V120,Paleoslovenistika a slovanské jazyky,,,,,
7310V125,Polská literatura,,,,,
7310V126,Polský jazyk,,,,,
7310V127,Polský jazyk a literatura,,,,,
7310V137,Románské jazyky,,,,,
7310V138,Románské jazyky a literatura,,,,,
7310V139,Románské literatury,,,,,
7310V147,Ruská literatura,,,,,
7310V150,Ruský jazyk,,,,,
7310V151,Ruský jazyk a literatura,,,,,
7310V162,Slovanská filologie,,,,,
7310V163,Slovanské literatury,,,,,
7310V165,Slovenský jazyk,,,,,
7310V170,Srovnávací indoevropská jazykověda,,,,,
7310V180,Translatologie,,,,,
7310V196,Srovnávací slovanská filologie,,,,,
7310V203,Dějiny české literatury a teorie literatury,,,,,
7310V204,Germánské literatury,,,,,
7310V211,Latinská medievistika a novolatinská studia,,,,,
7310V214,Obecná a srovnávací literatura (komparatistika),,,,,
7310V227,Latinská medievistika,,,,,
7310V243,Germanistická medievistika,,,,,
7310V244,Ugrofinská studia,,,,,
7310V245,Germánské jazyky a literatury,,,,,
7310V246,Didaktika konkrétního jazyka,,,,,
7310V280,"Korpusová lingvistika se zaměřením na konkrétní jazykovou skupinu(AJ,NJ)",,,,,
7310V303,Filologicko-areálová studia,,,,,
7310V317,Literatury v angličtině,,,,,
7310V320,Obecná jazykověda a teorie komunikace,,,,,
7310T187,Vietnamistika,,,,,
7310V325,Slovanské filologie,,,,,
7310V330,Didaktika cizího jazyka,,,,,
7310V337,Text and Event in Early Modern Europe (ERASMUS MUNDUS Joint Doctorate),,,,,
7310V354,Jazyky a kultura Číny a Japonska,,,,,
7310V355,Jazykovědná a literárněvědná srovnávací slavistika,,,,,
7310V999,Kmenový obor: Filologie,,,,,
7401R001,Aplikovaná tělesná výchova,,,,,
7401R002,Regenerace a výživa ve sportu,,,,,
7401R003,Rekreologie,,,,,
7401R004,Speciální edukace bezpečnostních složek,,,,,
7401R005,Tělesná výchova a sport,,,,,
7401R006,"Tělesná výchova a sport (trenérství, metodika)",,,,,
7401R007,Vojenská tělovýchova,,,,,
7401R008,Tělesná výchova a sport s trenérskou specializací,,,,,
7401R009,Rekreologie - pedagogika volného času,,,,,
7401R010,Sportovní a kondiční specialista,,,,,
7401R011,Sportovní a volnočasový pedagog,,,,,
7401R012,Ochrana obyvatelstva,,,,,
7401R013,Tělesná výchova,,,,,
7401R014,Tělesná výchova se zaměřením na vzdělávání,,,,,
7401R016,Tělesná výchova a sport - směr Management sportu,,,,,
7401R017,Aktivity v přírodě,,,,,
7401R018,Aplikované pohybové aktivity,,,,,
7401R019,Tělesná výchova a sport osob se specifickými potřebami,,,,,
7401R020,Trenérství a sport,,,,,
7401R022,Aplikovaná tělesná výchova a sport osob se specifickými potřebami,,,,,
7401R023,Výživové poradenství a sportovní diagnostika,,,,,
7401T001,Aplikovaná tělesná výchova,,,,,
7401T003,Rekreologie,,,,,
7401T005,Tělesná výchova a sport,,,,,
7401T006,"Tělesná výchova a sport (trenérství, metodika)",,,,,
7401T007,Vojenská tělovýchova,,,,,
7401T008,Tělesná výchova a sport s trenérskou specializací,,,,,
7401T013,Tělesná výchova,,,,,
7401T015,Aplikovaná sportovní edukce bezpečnostních složek,,,,,
7401T018,Aplikované pohybové aktivity,,,,,
7401T019,Tělesná výchova a sport osob se specifickými potřebami,,,,,
7401T021,Wellness specialista,,,,,
7401T022,Aplikovaná tělesná výchova a sport osob se specifickými potřebami,,,,,
7401T024,Trenérství a management sportu,,,,,
7401T025,Sport a zdraví,,,,,
7401T026,Aplikovaná kineziologie,,,,,
7401T027,MA in Sports Ethics and Integrity,,,,,
7403T001,Kinantropologie,,,,,
7403V000,Kmenový obor: Kinantropologie,,,,,
7403V001,Kinantropologie,,,,,
7501R001,Andragogika,,,,,
7501R002,Andragogika a personální řízení,,,,,
7501R003,Andragogika v profilaci na personální management,,,,,
7501R006,Pedagogické poradenství a školní management,,,,,
7501R007,Pedagogické poradenství a školský management,,,,,
7501R008,Pedagogika,,,,,
7501R022,Vzdělávání dospělých,,,,,
7501R023,Náboženská výchova a etika,,,,,
7501R024,Pedagogika - sociální práce,,,,,
7501R028,Pedagogika - veřejná správa,,,,,
7501R030,Pedagogicko-psychologická způsobilost,,,,,
7310T349,Překladatelství španělského jazyka,,,,,
7501R035,Vzdělávání v ekonomických předmětech,,,,,
7501T000,Kmenový obor: Pedagogika,,,,,
7501T001,Andragogika,,,,,
7501T002,Andragogika a personální řízení,,,,,
7501T008,Pedagogika,,,,,
7501T009,Pedagogika (v kombinaci),,,,,
7501T010,Pedagogika předškolního věku,,,,,
7501T016,Teorie vyučování ekonomickým předmětům,,,,,
7501T019,Výchova a vzdělávání dospělých,,,,,
7501T020,Vysokoškolská pedagogika,,,,,
7501T022,Vzdělávání dospělých,,,,,
7501T024,Pedagogika - sociální práce,,,,,
7501T025,Pedagogika - správní činnost,,,,,
7501T027,Učitelství pedagogiky,,,,,
7501T028,Pedagogika - veřejná správa,,,,,
7501T032,Pedagogika-vzdělávací politika,,,,,
7501T033,Předškolní pedagogika,,,,,
7501V001,Andragogika,,,,,
7501V004,Didaktika matematiky,,,,,
7501V005,Hudební teorie a pedagogika,,,,,
7501V008,Pedagogika,,,,,
7501V011,Specializace v pedagogice,,,,,
7501V012,Speciální příprava pro učitele,,,,,
7501V013,Teorie hudební výchovy,,,,,
7501V014,Teorie výtvarné výchovy,,,,,
7501V015,Teorie vyučování ekonomických předmětů,,,,,
7501V017,Teorie vyučování předmětům všeobecně vzdělávací a odborné povahy,,,,,
7501V018,Teorie vyučování technických předmětů,,,,,
7501V021,Výtvarná výchova,,,,,
7501V026,Teorie vzdělávání ve fyzice,,,,,
7501V029,Teorie vzdělávání v bohemistice,,,,,
7501V031,Education,,,,,
7501V034,Didaktika českého jazyka,,,,,
7501V036,Didaktika českého jazyka a literatury,,,,,
7502R001,Charitní a sociální péče,,,,,
7502R004,"Rehabilitační péče o postižené děti, dospělé a staré osoby",,,,,
7502R005,Sociálně výchovná péče o smyslově postižené,,,,,
3908V004,Požární ochrana a bezpečnost průmyslu,,,,,
3908V006,Technika požární ochrany a bezpečnosti průmyslu,,,,,
3908V009,Požární ochrana a bezpečnost /Fire Protection and Safety/,,,,,
3909R002,Konstrukční mechanika,,,,,
3909R009,Procesní technologie recyklace odpadů,,,,,
3909R011,Ovládání rizik,,,,,
3909R014,Procesní inženýrství a metody kontroly kvality,,,,,
3909T001,Konstrukční a procesní inženýrství,,,,,
3909T003,Procesní inženýrství,,,,,
3909T005,Řízení technologických procesů,,,,,
3909T006,Strojní inženýrství - výrobní a inovační inženýrství,,,,,
3909T007,Výrobní a inovační inženýrství,,,,,
3909T008,Výrobní inženýrství,,,,,
3909T010,Inovační inženýrství,,,,,
3909T012,Procesní technika,,,,,
3909T015,Bezpečnost společnosti,,,,,
3909V001,Konstrukční a procesní inženýrství,,,,,
3909V002,Konstrukční mechanika,,,,,
3909V003,Procesní inženýrství,,,,,
3909V004,Procesní technika a zpracovatelské systémy,,,,,
3909V013,Nástroje a procesy,,,,,
3911R001,Aplikovaná fyzika materiálů,,,,,
3911R002,"Diagnostika, kontrola jakosti a zkušebnictví",,,,,
3911R003,"Diagnostika, kontrola jakosti a zkušebnictví - hutní analytika",,,,,
3911R004,"Diagnostika, kontrola jakosti a zkušebnictví - zkoušení materiálů",,,,,
3911R008,Chemické a fyzikální metody zkoušení materiálu,,,,,
3911R011,Materiálové inženýrství,,,,,
3911R015,Materiálové inženýrství - nové technické materiály,,,,,
3911R018,Materiály a technologie,,,,,
3911R023,Řízení jakosti,,,,,
3911R026,Zkušebnictví a jakost materiálu,,,,,
3911R028,Diagnostika materiálů,,,,,
3911R029,Neželezné kovy a speciální slitiny,,,,,
3911R030,Technické materiály,,,,,
3911R033,Recyklace materiálů,,,,,
3911R034,Materiály a technologie pro automobilový průmysl,,,,,
3911R036,Progresivní technické materiály /Advanced Engineering Materials/,,,,,
3911R038,Materiály,,,,,
3911T001,Aplikovaná fyzika materiálů,,,,,
3911T008,Chemické a fyzikální metody zkoušení materiálu,,,,,
3911T010,Kovové materiály,,,,,
3911T011,Materiálové inženýrství,,,,,
3911T012,Materiálové inženýrství - kovové materiály,,,,,
3911T013,Materiálové inženýrství - nauka o kovech,,,,,
3911T014,Materiálové inženýrství - neželezné kovy,,,,,
3911T015,Materiálové inženýrství - nové technické materiály,,,,,
3911T016,Materiálové inženýrství a strojírenská metalurgie,,,,,
3911T019,Neželezné kovy,,,,,
3911T020,Nové technické materiály,,,,,
3911T021,Procesní inženýrství - chemické a fyzikální metody zkoušení,,,,,
3911T022,Řízení a kontrola jakosti (v hutnictví),,,,,
3911T023,Řízení jakosti,,,,,
3911T024,Řízení jakosti v metalurgii,,,,,
3911T025,Strojní inženýrství - materiálové inženýrství,,,,,
3911T026,Zkušebnictví a jakost materiálu,,,,,
3911T029,Neželezné kovy a speciální slitiny,,,,,
3911T030,Technické materiály,,,,,
3911T031,Diagnostika a design materiálů,,,,,
3911T032,Metrologie a řízení jakosti,,,,,
3911T033,Recyklace materiálů,,,,,
3911T034,Materiály a technologie pro automobilový průmysl,,,,,
3911T035,Výrobní a materiálové inženýrství,,,,,
3911T036,Progresivní technické materiály /Advanced Engineering Materials/,,,,,
3911T037,Material and Producting Engineering,,,,,
3911T039,Materiálové vědy a analýza materiálu,,,,,
3911V000,Kmenový obor: Materiálové vědy,,,,,
3911V005,Fyzikální a materiálové inženýrství,,,,,
3911V006,Fyzikální a stavebně materiálové inženýrství,,,,,
3911V007,Fyzikální metalurgie a mezní stavy materiálu,,,,,
3911V009,Jakost a spolehlivost strojů a zařízení,,,,,
3911V011,Materiálové inženýrství,,,,,
3911V016,Materiálové inženýrství a strojírenská metalurgie,,,,,
3911V017,Materiálové inženýrství polovodičů,,,,,
3911V023,Řízení jakosti,,,,,
3911V027,Metrologie a zkušebnictví,,,,,
3914R004,Ochrana a využití půdního fondu,,,,,
3914R006,Péče o krajinu,,,,,
3914R007,Pozemkové úpravy a ochrana půdního fondu,,,,,
3914R008,"Pozemkové úpravy, ochrana a využití půdního fondu",,,,,
3914R013,Krajinářství,,,,,
3914R015,Územní technická a správní služba,,,,,
3914R020,Územní plánování,,,,,
3914R024,Krajinné vodní hospodářství,,,,,
3914R027,Krajinářská architektura,,,,,
3914T001,Hodnocení a ochrana půdy,,,,,
3914T002,Krajinné inženýrství,,,,,
3914T009,Revitalizace krajiny,,,,,
3914T011,Biotechnické úpravy krajiny,,,,,
3914T016,Integrované využívání krajinného prostoru,,,,,
3914T017,Environmentální modelování /Environmental Modelling/,,,,,
3914T018,Regionální environmentální správa,,,,,
3914T019,Krajinné a pozemkové úpravy,,,,,
3914T021,Land and Water Management,,,,,
3914T023,Voda v krajině,,,,,
3914T026,Evropská škola pro technické znovuvyužití brownfields /ES for Bf.Tech.Redevelop.,,,,,
3914V003,Meliorace,,,,,
3914V005,Ochrana půdy a meliorace,,,,,
3914V010,Zemědělská a lesnická hydrologie,,,,,
3914V012,Ekologie lesa,,,,,
3914V014,Tvorba a ochrana krajiny,,,,,
3914V017,Environmentální modelování /Environmental Modelling/,,,,,
3914V022,Úpravy vodního režimu krajiny /Water Regime Improvement in Landscape/,,,,,
3914V025,Inženýrské stavby lesnické a krajinářské,,,,,
3917R004,Oceňování nemovitostí,,,,,
3917T002,Expertní inženýrství v dopravě,,,,,
3917T003,Realitní inženýrství,,,,,
3917V001,Soudní inženýrství,,,,,
3926T000,Kmenový obor: Vojenské technologie,,,,,
3926V002,Elektronické systémy a zařízení,,,,,
3926V003,Technická kybernetika a mechatronika,,,,,
3942R001,Nanotechnologie,,,,,
3942R002,Nanomateriály,,,,,
3942T001,Nanotechnologie,,,,,
3942T002,Nanomateriály,,,,,
3942T003,Aplikované nanotechnologie,,,,,
3942V001,Nanotechnologie,,,,,
3942V003,Aplikované nanotechnologie /Applied Nanotechnology/,,,,,
3942V004,Pokročilé materiály,,,,,
3942V005,Pokročilé nanotechnologie a mikrotechnologie,,,,,
4101R012,Zemědělská technika,,,,,
4101R013,Agricultural Engineering,,,,,
4101R018,Zemědělství,,,,,
4101R022,Informační a řídicí technika v agropotravinářském komplexu,,,,,
4101R023,Podnikání v agrobyznysu,,,,,
4101R027,Technika pro obnovu a udržování krajiny,,,,,
4101R028,Inženýrství údržby,,,,,
4101R029,Agrobyznys,,,,,
4101R031,Agriculture and Food,,,,,
4101T000,Kmenový obor: Zemědělské inženýrství,,,,,
4101T001,Hospodaření v zemědělství,,,,,
4101T002,Kvalita a zpracování zemědělských produktů,,,,,
4101T003,Potravinářství v zemědělství,,,,,
4101T004,Provoz techniky,,,,,
4101T005,Provoz techniky a automobilová doprava,,,,,
4101T006,Provozně podnikatelský obor,,,,,
4101T010,Technologie v zemědělství,,,,,
4101T011,Všeobecné zemědělství,,,,,
4101T012,Zemědělská technika,,,,,
4101T013,Zemědělské inženýrství,,,,,
4101T014,Zemědělské inženýrství - hospodaření v zemědělství,,,,,
4101T015,Zemědělské inženýrství - kvalita a zpracování zemědělských produktů,,,,,
4101T016,Zemědělské podnikatelství,,,,,
4101T017,Zemědělský podnikatel,,,,,
4101T018,Zemědělství,,,,,
4101T019,Zpracování zemědělských produktů,,,,,
4101T020,Management techniky,,,,,
4101T024,Zemědělské biotechnologie,,,,,
4101T025,Informační a řídící technika v agropotravinářském komplexu,,,,,
4101T026,Agropodnikání,,,,,
4101T028,Inženýrství údržby,,,,,
4101T029,Agrobyznys,,,,,
4101T032,Zemědělská a dopravní technika,,,,,
4101V006,Provozně podnikatelský obor,,,,,
4101V007,Technika a mechanizace zemědělské a lesnické výroby,,,,,
4101V008,Technika a mechanizace zemědělství /Technology and Agriculture Machinery/,,,,,
4101V009,Technika výrobních procesů,,,,,
4101V021,Marketing strojů a technických systémů,,,,,
4101V024,Zemědělské biotechnologie,,,,,
4101V030,Technika zemědělských technologických systémů /Engineering of Agric.Techn.Sys./,,,,,
4102R001,Fytotechnika,,,,,
4102R003,Ochrana rostlin,,,,,
4102R004,Pěstování rostlin,,,,,
4102R005,Pícninářství - krmivářství,,,,,
4102R006,Rostlinná produkce,,,,,
4102R007,Rostlinolékařství,,,,,
4102R010,Šlechtitelství,,,,,
4102R018,Rostlinné biotechnologie,,,,,
4102T001,Fytotechnika,,,,,
4102T006,Rostlinná produkce,,,,,
4102T007,Rostlinolékařství,,,,,
4102T009,Šlechtění rostlin,,,,,
4102T013,Zemědělské inženýrství - rostlinná produkce,,,,,
4102T014,Zemědělské inženýrství - rostlinolékařství,,,,,
4102T015,Genetika a šlechtění rostlin,,,,,
4102T016,Krmivářství,,,,,
4102T017,Výživa a ochrana rostlin,,,,,
4102T018,Rostlinné biotechnologie,,,,,
4102T019,Biotechnologie a šlechtění rostlin,,,,,
4102V002,Obecná produkce rostlinná /General Plant Production/,,,,,
4102V003,Ochrana rostlin,,,,,
4102V007,Rostlinolékařství,,,,,
4102V008,Speciální produkce rostlinná,,,,,
4102V011,Zemědělská a lesnická fytopatologie a ochrana rostlin,,,,,
4102V012,Zemědělská a lesnická fytopatologie a ochrana rostlin - ochrana rostlin,,,,,
4103R001,Chovatelství,,,,,
4103R003,Rybářství,,,,,
4103R007,Zootechnika,,,,,
4103R008,Živočišná produkce,,,,,
4103R011,Speciální chovy,,,,,
4103R015,Chov koní,,,,,
4103R018,Kynologie,,,,,
4103R019,Zoorehabilitace a asistenční aktivity se zvířaty,,,,,
4103R020,Rybářství a akvaristika,,,,,
4103T003,Rybářství,,,,,
4103T005,Šlechtění zvířat,,,,,
4103T006,Zemědělské inženýrství - živočišná produkce,,,,,
4103T007,Zootechnika,,,,,
4103T008,Živočišná produkce,,,,,
4103T009,Rybářství a hydrobiologie,,,,,
4103T010,Živočišné biotechnologie,,,,,
4103T012,Výživa zvířat a dietetika,,,,,
4103T013,Zájmové chovy zvířat,,,,,
4103T016,Chov koní a agroturistika,,,,,
4103T017,Aquaculture,,,,,
4103T020,Rybářství a akvaristika,,,,,
4103T021,Biotechnologie a šlechtění zvířat,,,,,
4103V002,Obecná zootechnika /General Animal Breeding/,,,,,
4103V003,Rybářství,,,,,
4103V004,Speciální zootechnika,,,,,
4103V014,Zoohygiena a prevence chorob hospodářských zvířat,,,,,
4106R001,Agroturistika,,,,,
4106R002,Alternativní zemědělství a rekultivace,,,,,
4106R004,Obnova a rozvoj venkova,,,,,
4106R007,Pozemkové úpravy a převody nemovitostí,,,,,
4106R010,Rozvoj venkova,,,,,
4106R013,Trvale udržitelné systémy hospodaření v krajině,,,,,
4106R014,Udržitelné využívání přírodních zdrojů,,,,,
4106R018,Zpracování a využití komunálních a průmyslových odpadů v zemědělství,,,,,
4106R019,Agroekologie,,,,,
4106R022,Zemědělství tropů a subtropů,,,,,
4106R026,Biologie a ochrana zájmových organismů,,,,,
4106R028,Dopravní a manipulační prostředky,,,,,
4106R030,Technické znalectví a pojišťovnictví,,,,,
4106R033,Trvale udržitelný rozvoj tropů a subtropů,,,,,
4106R037,Pozemkové úpravy a ochrana půdy,,,,,
4106R041,International Cooperation in Agriculture and Rural Development,,,,,
4106R042,Ochrana krajiny a využívání přírodních zdrojů,,,,,
4106T003,Ekotechnika v zemědělství,,,,,
4106T005,Odpadové hospodářství v zemědělství,,,,,
4106T006,Odpady a jejich využití,,,,,
4106T007,Pozemkové úpravy a převody nemovitostí,,,,,
4106T008,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,,,,
4106T009,Reprodukční biotechnologie,,,,,
4106T010,Rozvoj venkova,,,,,
4106T011,Rozvoj venkovského prostoru,,,,,
4106T012,Tropické a subtropické zemědělství,,,,,
4106T015,Udržitelný rozvoj biosféry,,,,,
4106T019,Agroekologie,,,,,
4106T021,Technology and Environmental Engineering,,,,,
4106T022,Zemědělství tropů a subtropů,,,,,
4106T023,Trvale udržitelný rozvoj venkova tropů a subtropů /Sustainable Rural Devel.in tr,,,,,
4106T024,Management volně žijících zvířat a jejich chovů v tropech a subtropech,,,,,
4106T026,Biologie a ochrana zájmových organismů,,,,,
4106T027,Informační systémy venkovských regionů a zemědělství,,,,,
4106T031,International Economic Development,,,,,
4106T032,Tropical Crop Management and Ecology,,,,,
4106T034,Animal and Food Sciences in Tropics and Subtropics,,,,,
4106T035,Technické znalectví a expertní inženýrství,,,,,
4106T036,Sustainable Agriculture and Food Security,,,,,
4106T037,Pozemkové úpravy a ochrana půdy,,,,,
4106T038,Natural Resources Management and Ecological Engineering,,,,,
4106T039,International Development and Agricultural Economics,,,,,
4106T040,Rybářství a ochrana vod /Fishery and Protection of Waters/,,,,,
4106T043,Ochrana a využívání přírodních zdrojů,,,,,
4106V005,Odpadové hospodářství v zemědělství,,,,,
4106V012,Tropické a subtropické zemědělství,,,,,
4106V016,Vlastnosti a zpracování zemědělských materiálů a produktů,,,,,
4106V017,Zemědělská chemie,,,,,
4106V020,Odpadové hospodářství,,,,,
4106V022,Zemědělství tropů a subtropů /Agriculture in Tropics and Subtropics/,,,,,
4106V023,Trvale udržitelný rozvoj venkova tropů a subtropů /Sustainable Rural Devel.in tr,,,,,
4106V025,Agricultural Chemistry,,,,,
4106V029,Využití a ochrana přírodních zdrojů,,,,,
4106V044,Tropical Agrobiology and Bioresource Management,,,,,
4107T003,Lesní inženýrství /Forest Engineering/,,,,,
4107T014,"Forestry, Water and Landscape Management",,,,,
4107T015,Tropical Forestry and Agroforestry,,,,,
4107T016,European Forestry,,,,,
4107T017,Forestry and Landscape Management,,,,,
4107V001,Dendrologie a šlechtění lesních dřevin,,,,,
4107V002,Hospodářská úprava lesa,,,,,
4107V004,Myslivost,,,,,
4107V005,Nauka o lesním prostředí,,,,,
4107V006,Ochrana lesa,,,,,
4107V007,Pěstění a ochrana lesa,,,,,
4107V008,Pěstění lesa,,,,,
4107V009,Pěstování a ochrana lesa,,,,,
4107V010,Pěstování lesa,,,,,
4107V011,Technika a mechanizace v lesním hospodářství,,,,,
4107V012,Technika a mechanizace lesnické výroby,,,,,
4107V013,Ochrana lesů a myslivost,,,,,
4107V018,Zpracování dřeva a technika v lesním hospodářství,,,,,
4108R003,Zahradnictví,,,,,
4108R005,Zpracování zahradnických produktů,,,,,
4108R008,Vinohradnictví a vinařství,,,,,
4108R009,Produkční a ochranné zahradnictví,,,,,
4108T001,Zahradní inženýrství,,,,,
4108T003,Zahradnictví,,,,,
4108T004,Zemědělské inženýrství - zahradnictví,,,,,
4108T005,Zpracování zahradnických produktů,,,,,
4108T006,Okrasné zahradnictví,,,,,
4108T007,Produkční zahradnictví,,,,,
4108T010,Řízení zahradnických technologií,,,,,
4108T011,International Master of Horticulture Science,,,,,
4108V002,Zahradnická produkce,,,,,
4108V003,Zahradnictví,,,,,
4109R001,Zahradní a krajinářská architektura,,,,,
4109R003,Zahradní a krajinná tvorba,,,,,
4109R006,Management zahradních a krajinářských úprav,,,,,
4109R008,Zahradní a krajinná architektura,,,,,
4109R009,Management zahradních a krajinných úprav,,,,,
4109R010,Zahradní a krajinářské realizace,,,,,
4109T001,Zahradní a krajinářská architektura,,,,,
4109T006,Management zahradních a krajinářských úprav,,,,,
4109T007,Zahradní tvorba,,,,,
4109V001,Zahradní a krajinářská architektura,,,,,
4109V002,Zahradní a krajinářská tvorba,,,,,
4109V008,Zahradní a krajinná architektura,,,,,
4131R001,Ekologické a alternativní systémy hospodaření v krajině,,,,,
4131R002,Kontrola jakosti zemědělské produkce,,,,,
4131R003,Kvalita produkce,,,,,
4131R004,Obchodování se zemědělsko-potravinářskými komoditami,,,,,
4131R005,Provoz techniky,,,,,
4131R006,Všeobecné zemědělství,,,,,
4131R007,"Zemědělská technika, obchod, servis a služby",,,,,
4131R008,Zemědělské podnikání,,,,,
4131R009,Zemědělsko potravinářské podnikání,,,,,
4131R010,Zemědělský manažer,,,,,
4131R011,Zemědělský podnikatel,,,,,
4131R012,Zemědělské biotechnologie,,,,,
4131R013,Ekologické zemědělství,,,,,
4131R014,Veřejná správa v zemědělství a v péči o krajinu,,,,,
4131R015,Agropodnikání,,,,,
4131R016,Výživa a potraviny,,,,,
4131R017,Biotechnologie využití biomasy,,,,,
4131T013,Ekologické zemědělství,,,,,
4131T016,Výživa a potraviny,,,,,
4132R001,Hospodářská a správní služba v lesním hospodářství,,,,,
4132R002,Lesnictví,,,,,
4132R003,Vyšší odborné lesnictví,,,,,
4132R004,Provoz a řízení myslivosti /Game Management/,,,,,
4132R005,Arboristika,,,,,
4132R006,Hospodaření s přírodními zdroji tropických a subtropických oblastí,,,,,
4144R001,Produkční a okrasné zahradnictví,,,,,
4144R002,Zahradnictví,,,,,
4144R003,Jakost rostlinných potravinových zdrojů,,,,,
4144R004,Podnikání v zahradnictví,,,,,
4144R005,Zahradní a krajinářské úpravy,,,,,
4144R006,Trávníkářství,,,,,
4301T010,Tropické a subtropické veterinární lékařství,,,,,
4301T014,Veterinární lékařství,,,,,
4301T022,Všeobecné veterinární lékařství,,,,,
4301V001,Aviární choroby,,,,,
4301V002,Genetika a plemenitba zvířat,,,,,
4301V003,Choroby koní,,,,,
4301V004,Choroby malých zvířat,,,,,
4301V005,Choroby prasat,,,,,
4301V006,Choroby přežvýkavců,,,,,
4301V007,Choroby volně žijících zvířat a zvířat zoologických zahrad,,,,,
4301V008,Infekční choroby a epizootologie,,,,,
4301V009,Invazní choroby,,,,,
4301V011,"Veřejné a soudní veterinářství, informatika a ekonomika",,,,,
4301V012,Veterinární chirurgie,,,,,
4301V013,"Veterinární chirurgie, ortopedie a rentgenologie",,,,,
4301V015,Veterinární mikrobiologie a imunologie,,,,,
4301V016,Veterinární morfologie a fyziologie,,,,,
4301V017,Veterinární parazitologie,,,,,
4301V018,Veterinární patologická morfologie a fyziologie,,,,,
4301V019,Veterinární porodnictví a gynekologie,,,,,
4301V020,"Veterinární porodnictví, gynekologie a andrologie",,,,,
4301V021,Vnitřní choroby hospodářských zvířat,,,,,
4301V023,Aviární medicína,,,,,
4301V024,Veřejné veterinářství a ochrana zvířat,,,,,
4301V025,Fyziologie a farmakologie,,,,,
4301V026,Choroby drůbeže,,,,,
4301V027,"Choroby ptáků,plazů a drobných savců",,,,,
4301V028,Normální a patologická morfologie,,,,,
4301V029,Choroby psů a koček,,,,,
4301V030,"Veterinární chirurgie, ortopedie a zobrazovací diagnostika",,,,,
4301V031,Reprodukce zvířat,,,,,
4301V032,"Anatomie, histologie a embryologie",,,,,
4301V033,Choroby přežvýkavců a prasat,,,,,
4301V034,"Infekční choroby, mikrobiologie a imunologie",,,,,
4301V035,Patologická morfologie a parazitologie,,,,,
4302R004,"Hygiena, technologie a ekologie potravin",,,,,
4302R015,Bezpečnost a kvalita potravin,,,,,
4302R020,Ochrana zvířat a welfare,,,,,
4302R021,Zdravotní nezávadnost a kvalita potravin v gastronomii,,,,,
4302T004,"Hygiena, technologie a ekologie potravin",,,,,
4302T009,Veterinární hygiena a ekologie,,,,,
4302T010,Veterinární lékařství - hygiena potravin,,,,,
4302T015,Bezpečnost a kvalita potravin,,,,,
4302T020,Ochrana zvířat a welfare,,,,,
4302T021,Zdravotní nezávadnost a kvalita potravin v gastronomii,,,,,
4302V001,"Ekologie, ekotoxikologie a radiobiologie",,,,,
4302V002,Epizootologie a zoohygiena,,,,,
4302V003,Hygiena a technologie potravin,,,,,
4302V005,"Veterinární biochemie, biofyzika a laboratorní metody",,,,,
4302V006,Veterinární farmakologie,,,,,
